id,host_is_superhost,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,host_experience
3835995,1,98107,House,Entire home/apt,2,1.0,1.0,1.0,97.0,0.0,0.0,1,0,1,1125,155,2.0
9732638,0,98107,Townhouse,Entire home/apt,5,3.0,2.0,2.0,200.0,200.0,50.0,4,1,2,1125,0,2.0
3768745,1,98109,House,Private room,2,1.0,1.0,1.0,120.0,0.0,0.0,1,0,2,28,15,2.0
3975434,0,98109,Apartment,Private room,2,1.0,1.0,1.0,109.0,0.0,0.0,2,1,2,1125,17,3.0
5620928,0,98109,Apartment,Private room,2,1.0,1.0,1.0,115.0,100.0,20.0,1,0,2,1125,13,2.0
7381677,1,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,199.0,0.0,80.0,2,1,2,1125,13,1.0
5487934,0,98109,Apartment,Private room,2,1.0,1.0,1.0,150.0,95.0,0.0,1,0,1,1125,2,2.0
9028447,0,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,100.0,0.0,0.0,1,0,1,1125,1,4.0
757840,1,98109,House,Entire home/apt,6,2.5,3.0,4.0,250.0,500.0,100.0,1,0,2,14,98,4.0
8848403,0,98109,Apartment,Shared room,2,1.0,1.0,1.0,39.0,0.0,0.0,1,0,1,1125,2,1.0
7430926,0,98109,Apartment,Entire home/apt,4,1.0,1.0,1.0,69.0,150.0,55.0,3,1,2,13,28,1.0
7021544,0,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,145.0,350.0,60.0,4,1,2,1125,17,1.0
1323446,1,98109,Apartment,Entire home/apt,5,1.0,1.0,4.0,98.0,300.0,10.0,2,1,1,99,139,3.0
3925573,0,98109,Apartment,Entire home/apt,4,1.0,1.0,1.0,130.0,150.0,25.0,1,0,2,1125,5,2.0
8723086,0,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,85.0,0.0,0.0,0,0,1,1125,15,1.0
781474,0,98109,Boat,Entire home/apt,1,1.0,1.0,1.0,85.0,0.0,15.0,1,0,2,180,1,4.0
9812439,0,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,73.0,350.0,60.0,1,0,2,1125,0,1.0
3401644,0,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,150.0,150.0,25.0,4,1,1,1125,5,6.0
10036903,0,98109,Apartment,Entire home/apt,3,1.0,1.0,1.0,85.0,0.0,0.0,1,0,3,1125,0,1.0
5310193,0,98109,House,Entire home/apt,6,2.0,3.0,3.0,190.0,500.0,100.0,1,0,1,1125,3,1.0
5308875,1,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,68.0,200.0,50.0,1,0,2,15,17,2.0
5052459,1,98109,Apartment,Entire home/apt,2,1.5,1.0,1.0,149.0,100.0,60.0,2,0,2,1125,31,1.0
7228499,0,98109,House,Entire home/apt,10,2.0,2.0,5.0,349.0,0.0,100.0,1,0,1,1125,34,3.0
7651653,0,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,105.0,750.0,100.0,1,0,21,1125,1,3.0
1494986,1,98109,Apartment,Entire home/apt,4,1.5,1.0,2.0,145.0,500.0,90.0,2,1,3,1125,10,6.0
1783382,0,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,150.0,200.0,40.0,1,1,2,6,15,3.0
7513198,0,98109,Condominium,Entire home/apt,4,2.0,2.0,1.0,275.0,5000.0,75.0,3,1,4,1125,1,2.0
8308316,0,98109,Apartment,Entire home/apt,4,1.0,2.0,3.0,165.0,0.0,75.0,1,0,2,1125,7,4.0
9694921,0,98109,House,Entire home/apt,5,2.0,3.0,3.0,196.0,300.0,65.0,5,1,2,1125,1,4.0
2472850,0,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,195.0,100.0,35.0,1,0,2,14,28,4.0
