host_is_superhost,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,cancellation_policy,host_experience
0,9,Entire home/apt,8,2.0,3.0,3.0,Real Bed,275.0,250.0,100.0,8,1,1,1125,107,strict,3.0
1,9,Entire home/apt,6,2.0,3.0,3.0,Real Bed,180.0,0.0,0.0,1,0,3,21,10,moderate,4.0
1,9,Entire home/apt,2,1.0,1.0,1.0,Real Bed,97.0,0.0,0.0,1,0,1,1125,155,flexible,2.0
0,13,Entire home/apt,5,3.0,2.0,2.0,Real Bed,200.0,200.0,50.0,4,1,2,1125,0,moderate,2.0
1,9,Private room,2,1.0,1.0,1.0,Real Bed,120.0,0.0,0.0,1,0,2,28,15,flexible,2.0
0,0,Private room,2,1.0,1.0,1.0,Real Bed,109.0,0.0,0.0,2,1,2,1125,17,flexible,3.0
0,0,Private room,2,1.0,1.0,1.0,Real Bed,115.0,100.0,20.0,1,0,2,1125,13,flexible,2.0
1,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,199.0,0.0,80.0,2,1,2,1125,13,strict,1.0
0,0,Private room,2,1.0,1.0,1.0,Real Bed,150.0,95.0,0.0,1,0,1,1125,2,moderate,2.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,100.0,0.0,0.0,1,0,1,1125,1,moderate,4.0
1,9,Entire home/apt,6,2.5,3.0,4.0,Real Bed,250.0,500.0,100.0,1,0,2,14,98,moderate,4.0
0,0,Shared room,2,1.0,1.0,1.0,Pull-out Sofa,39.0,0.0,0.0,1,0,1,1125,2,flexible,1.0
0,0,Entire home/apt,4,1.0,1.0,1.0,Real Bed,69.0,150.0,55.0,3,1,2,13,28,strict,1.0
0,0,Entire home/apt,4,1.0,1.0,2.0,Real Bed,145.0,350.0,60.0,4,1,2,1125,17,strict,1.0
1,0,Entire home/apt,5,1.0,1.0,4.0,Real Bed,98.0,300.0,10.0,2,1,1,99,139,moderate,3.0
0,0,Entire home/apt,4,1.0,1.0,1.0,Real Bed,130.0,150.0,25.0,1,0,2,1125,5,strict,2.0
0,0,Entire home/apt,4,1.0,1.0,2.0,Real Bed,85.0,0.0,0.0,0,0,1,1125,15,moderate,1.0
0,2,Entire home/apt,1,1.0,1.0,1.0,Real Bed,85.0,0.0,15.0,1,0,2,180,1,moderate,4.0
0,0,Entire home/apt,4,1.0,1.0,2.0,Real Bed,73.0,350.0,60.0,1,0,2,1125,0,strict,1.0
0,0,Entire home/apt,4,1.0,1.0,2.0,Real Bed,150.0,150.0,25.0,4,1,1,1125,5,moderate,6.0
0,0,Entire home/apt,3,1.0,1.0,1.0,Real Bed,85.0,0.0,0.0,1,0,3,1125,0,strict,1.0
0,9,Entire home/apt,6,2.0,3.0,3.0,Real Bed,190.0,500.0,100.0,1,0,1,1125,3,strict,1.0
1,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,68.0,200.0,50.0,1,0,2,15,17,moderate,2.0
1,0,Entire home/apt,2,1.5,1.0,1.0,Real Bed,149.0,100.0,60.0,2,0,2,1125,31,moderate,1.0
0,9,Entire home/apt,10,2.0,2.0,5.0,Real Bed,349.0,0.0,100.0,1,0,1,1125,34,strict,3.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,105.0,750.0,100.0,1,0,21,1125,1,strict,3.0
1,0,Entire home/apt,4,1.5,1.0,2.0,Real Bed,145.0,500.0,90.0,2,1,3,1125,10,strict,6.0
0,0,Entire home/apt,2,1.0,1.0,1.0,Real Bed,150.0,200.0,40.0,1,1,2,6,15,moderate,3.0
