accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,minimum_nights,maximum_nights,number_of_reviews,host_experience
2,1.0,0.0,1.0,109.0,0.0,49.0,1,1,1125,1,2.0
4,1.0,0.0,2.0,80.0,100.0,50.0,1,1,1125,0,4.0
2,1.0,0.0,2.0,80.0,100.0,55.0,1,1,1125,0,4.0
5,1.0,2.0,2.0,125.0,0.0,85.0,1,1,1125,2,5.0
2,1.0,1.0,1.0,55.0,0.0,0.0,1,1,1125,1,1.0
4,1.0,0.0,2.0,98.0,100.0,60.0,1,1,1125,15,4.0
2,1.0,0.0,1.0,82.0,100.0,60.0,1,1,1125,0,4.0
2,1.0,1.0,1.0,70.0,200.0,150.0,2,2,20,0,1.0
1,1.0,1.0,1.0,55.0,0.0,5.0,1,2,1125,0,2.0
4,1.0,1.0,2.0,110.0,200.0,70.0,1,2,1125,13,4.0
12,3.5,5.0,7.0,350.0,500.0,250.0,1,3,1125,1,5.0
9,2.5,4.0,6.0,295.0,0.0,300.0,1,3,1125,2,5.0
3,1.0,1.0,2.0,105.0,100.0,60.0,1,2,1125,25,4.0
4,1.0,1.0,2.0,85.0,100.0,60.0,1,1,1125,17,4.0
3,1.0,0.0,2.0,75.0,800.0,0.0,2,3,14,0,1.0
3,1.0,0.0,1.0,95.0,100.0,60.0,1,3,1125,1,4.0
2,1.0,1.0,1.0,75.0,0.0,0.0,1,2,1125,12,1.0
1,1.0,1.0,1.0,45.0,500.0,10.0,1,1,1125,28,1.0
1,1.5,1.0,1.0,30.0,0.0,0.0,1,1,1125,1,1.0
1,1.0,1.0,1.0,42.0,350.0,35.0,1,4,1125,0,5.0
7,1.5,3.0,5.0,250.0,500.0,150.0,4,2,1125,10,3.0
1,1.0,1.0,1.0,43.0,0.0,20.0,1,1,1125,11,3.0
4,1.0,1.0,1.0,125.0,0.0,0.0,1,1,1125,1,2.0
3,1.0,1.0,1.0,112.0,500.0,75.0,2,2,1125,40,4.0
4,1.0,1.0,2.0,85.0,100.0,60.0,1,4,1125,8,4.0
2,1.0,1.0,2.0,63.0,0.0,0.0,1,1,1125,9,1.0
1,1.0,1.0,1.0,41.0,500.0,10.0,1,1,1125,15,1.0
3,1.0,1.0,2.0,79.0,400.0,75.0,1,5,1125,17,2.0
2,1.0,1.0,1.0,70.0,150.0,60.0,1,3,1125,1,4.0
3,1.0,1.0,2.0,85.0,0.0,5.0,2,3,31,36,2.0
4,1.0,0.0,2.0,110.0,200.0,60.0,1,1,1125,5,4.0
1,1.0,1.0,1.0,53.0,0.0,0.0,1,1,1125,1,2.0
2,1.0,1.0,1.0,75.0,0.0,0.0,1,1,29,3,2.0
6,1.0,2.0,2.0,125.0,250.0,89.0,6,2,60,10,3.0
2,1.0,0.0,1.0,90.0,200.0,90.0,1,2,1125,6,4.0
2,1.0,1.0,1.0,85.0,300.0,50.0,2,2,1125,14,2.0
3,1.0,1.0,1.0,85.0,100.0,50.0,1,2,1125,12,4.0
2,1.0,0.0,1.0,88.0,100.0,50.0,2,2,1125,12,4.0
4,1.0,1.0,2.0,92.0,150.0,60.0,1,2,1125,1,4.0
1,1.0,1.0,1.0,28.0,0.0,0.0,1,1,1125,0,1.0
2,1.0,0.0,1.0,70.0,100.0,45.0,1,2,1125,1,4.0
2,1.0,1.0,1.0,78.0,0.0,0.0,2,2,14,18,1.0
1,1.0,1.0,1.0,30.0,0.0,0.0,1,1,1125,0,1.0
4,1.0,0.0,2.0,93.0,100.0,60.0,1,2,1125,2,4.0
1,1.0,1.0,1.0,65.0,150.0,60.0,1,1,1125,0,4.0
1,1.0,1.0,1.0,120.0,0.0,0.0,1,1,1125,1,2.0
2,1.0,1.0,1.0,40.0,500.0,10.0,1,1,1125,23,1.0
2,1.0,1.0,1.0,43.0,500.0,10.0,1,1,1125,9,1.0
2,1.0,1.0,1.0,70.0,0.0,0.0,2,2,10,18,1.0
3,1.0,1.0,2.0,90.0,150.0,60.0,1,2,1125,9,4.0
3,1.0,0.0,2.0,90.0,0.0,0.0,1,2,1125,9,2.0
2,1.0,1.0,1.0,85.0,0.0,15.0,2,1,7,62,5.0
3,1.0,1.0,2.0,115.0,100.0,25.0,3,1,1125,14,2.0
4,1.0,1.0,1.0,89.0,100.0,25.0,2,1,90,124,3.0
2,1.0,2.0,2.0,185.0,0.0,0.0,1,1,1125,1,1.0
2,1.0,0.0,2.0,85.0,100.0,60.0,1,1,1125,5,4.0
2,1.0,1.0,1.0,135.0,400.0,99.0,1,2,30,0,1.0
3,1.0,1.0,1.0,95.0,95.0,0.0,2,2,1125,11,6.0
8,1.0,4.0,4.0,306.0,250.0,108.0,6,1,180,1,1.0
4,1.5,1.0,2.0,29.0,0.0,0.0,1,1,3,0,1.0
2,1.0,1.0,1.0,47.0,500.0,10.0,1,1,1125,14,1.0
1,1.0,1.0,1.0,50.0,350.0,35.0,1,4,1125,1,5.0
4,1.0,1.0,2.0,105.0,150.0,60.0,1,1,1125,3,4.0
2,1.0,1.0,1.0,83.0,150.0,55.0,1,3,1125,11,4.0
2,1.0,1.0,1.0,73.0,0.0,25.0,2,1,1125,5,1.0
4,2.5,2.0,2.0,92.0,225.0,80.0,2,1,28,34,1.0
1,0.5,1.0,1.0,69.0,0.0,0.0,1,1,1125,0,2.0
2,1.0,1.0,1.0,59.0,0.0,0.0,1,1,10,146,4.0
6,2.0,2.0,2.0,145.0,250.0,90.0,2,1,1125,7,4.0
4,1.0,1.0,2.0,95.0,100.0,60.0,1,2,1125,7,4.0
6,2.0,2.0,2.0,150.0,100.0,90.0,2,1,1125,8,4.0
4,1.0,2.0,2.0,85.0,0.0,0.0,1,1,1125,1,2.0
2,1.0,0.0,1.0,98.0,150.0,60.0,1,2,1125,2,4.0
4,1.0,1.0,4.0,110.0,300.0,60.0,1,2,1125,7,2.0
1,1.0,1.0,1.0,42.0,350.0,35.0,1,4,1125,0,5.0
3,1.0,1.0,1.0,95.0,150.0,60.0,1,2,1125,23,4.0
1,1.0,1.0,1.0,42.0,350.0,35.0,1,4,1125,2,5.0
5,2.0,3.0,3.0,250.0,800.0,120.0,1,3,1125,2,2.0
1,1.0,1.0,1.0,42.0,350.0,35.0,1,4,1125,0,5.0
2,1.0,1.0,1.0,40.0,0.0,5.0,1,1,1,4,1.0
4,1.0,2.0,3.0,80.0,200.0,35.0,4,2,60,19,5.0
2,1.5,1.0,2.0,40.0,0.0,0.0,1,1,1125,1,1.0
6,1.0,2.0,3.0,275.0,0.0,75.0,1,1,1125,0,1.0
1,1.0,0.0,1.0,47.0,0.0,0.0,1,1,1125,0,1.0
2,1.0,1.0,2.0,118.0,0.0,0.0,1,1,1125,1,1.0
3,1.0,1.0,1.0,105.0,150.0,60.0,1,3,1125,5,4.0
6,2.0,2.0,3.0,150.0,150.0,90.0,2,1,1125,1,4.0
5,1.5,3.0,2.0,250.0,0.0,100.0,1,2,1125,5,5.0
2,1.0,1.0,1.0,88.0,0.0,30.0,3,1,730,93,5.0
2,1.0,1.0,1.0,139.0,0.0,0.0,1,1,1125,0,4.0
4,1.0,2.0,2.0,128.0,100.0,10.0,3,2,90,158,4.0
2,1.0,1.0,1.0,110.0,0.0,25.0,2,2,1125,16,3.0
2,1.0,1.0,1.0,210.0,300.0,80.0,1,1,1125,2,1.0
4,1.0,1.0,2.0,155.0,300.0,70.0,2,20,120,49,4.0
4,1.0,2.0,2.0,168.0,250.0,45.0,4,1,1125,75,3.0
2,1.0,0.0,1.0,62.0,0.0,50.0,1,2,10,44,5.0
2,1.0,0.0,1.0,80.0,100.0,25.0,1,2,1125,25,1.0
2,1.0,1.0,1.0,105.0,200.0,95.0,1,2,1125,28,5.0
4,1.0,1.0,2.0,50.0,95.0,10.0,2,1,14,2,2.0
2,1.0,1.0,1.0,70.0,300.0,50.0,1,20,120,0,4.0
1,1.0,1.0,1.0,165.0,250.0,0.0,1,2,7,1,2.0
2,1.0,1.0,1.0,79.0,0.0,6.0,2,1,1125,270,4.0
2,1.0,0.0,1.0,95.0,0.0,50.0,1,3,32,68,2.0
2,1.0,1.0,1.0,90.0,0.0,26.0,1,1,1125,52,1.0
8,2.5,3.0,3.0,380.0,300.0,100.0,4,3,28,3,3.0
8,3.0,4.0,4.0,225.0,500.0,150.0,4,3,29,3,2.0
2,1.0,1.0,1.0,60.0,0.0,0.0,1,1,1125,12,1.0
2,1.0,1.0,1.0,100.0,100.0,20.0,2,2,1125,0,2.0
5,2.5,2.0,2.0,157.0,0.0,100.0,5,2,1125,25,2.0
2,1.0,1.0,1.0,110.0,0.0,30.0,1,3,1125,43,3.0
3,1.0,1.0,1.0,150.0,0.0,30.0,1,2,30,8,3.0
6,3.5,3.0,3.0,203.0,750.0,140.0,1,7,120,0,4.0
5,1.0,1.0,2.0,145.0,0.0,100.0,4,2,30,15,2.0
3,1.0,1.0,1.0,85.0,250.0,83.0,2,1,70,74,4.0
4,1.0,1.0,2.0,79.0,300.0,70.0,2,1,1125,104,3.0
1,1.0,1.0,1.0,40.0,0.0,0.0,1,1,1125,6,1.0
2,1.0,1.0,1.0,49.0,100.0,5.0,1,1,1125,79,4.0
4,1.0,1.0,2.0,56.0,100.0,5.0,1,1,30,79,4.0
7,2.5,3.0,4.0,330.0,300.0,75.0,6,1,1125,4,2.0
4,1.0,2.0,2.0,150.0,0.0,40.0,2,2,1125,96,3.0
8,3.0,4.0,4.0,350.0,200.0,120.0,1,1,14,7,3.0
4,1.5,2.0,2.0,145.0,0.0,60.0,4,2,1125,2,1.0
2,1.0,1.0,1.0,67.0,0.0,18.0,2,1,1125,10,1.0
3,2.0,1.0,1.0,69.0,0.0,0.0,1,2,1125,52,3.0
2,1.0,1.0,1.0,52.0,100.0,5.0,1,1,365,99,4.0
2,1.0,1.0,1.0,75.0,0.0,35.0,1,2,15,71,3.0
2,1.5,1.0,1.0,90.0,0.0,0.0,1,1,50,28,3.0
2,1.0,1.0,1.0,130.0,150.0,30.0,2,1,1125,5,2.0
2,1.0,1.0,1.0,65.0,0.0,55.0,1,3,1125,0,1.0
2,1.0,1.0,1.0,155.0,0.0,25.0,1,1,1125,10,2.0
2,1.0,1.0,1.0,79.0,0.0,0.0,0,1,1125,15,2.0
3,1.0,1.0,1.0,60.0,0.0,5.0,2,1,4,18,2.0
4,1.0,2.0,1.0,115.0,0.0,0.0,1,7,1125,1,5.0
2,1.0,1.0,1.0,60.0,0.0,0.0,1,2,1125,8,1.0
2,1.0,1.0,1.0,70.0,0.0,0.0,1,1,1125,33,4.0
2,1.0,1.0,1.0,80.0,550.0,35.0,1,2,29,3,3.0
3,2.0,1.0,2.0,70.0,0.0,0.0,2,2,1125,68,3.0
1,2.0,1.0,1.0,55.0,0.0,0.0,1,2,20,70,3.0
2,1.5,1.0,1.0,72.0,150.0,30.0,2,2,1125,94,4.0
2,1.0,1.0,1.0,67.0,0.0,0.0,1,1,1125,1,1.0
2,1.0,1.0,1.0,58.0,0.0,0.0,1,1,1125,0,1.0
2,1.5,1.0,1.0,70.0,0.0,15.0,1,1,1125,136,3.0
2,1.0,1.0,1.0,81.0,200.0,5.0,2,1,365,51,4.0
2,1.5,1.0,1.0,58.0,0.0,30.0,1,1,1125,49,2.0
2,2.0,1.0,1.0,58.0,200.0,30.0,1,2,29,68,3.0
1,1.0,1.0,1.0,100.0,200.0,35.0,1,1,1125,4,4.0
2,1.0,0.0,1.0,110.0,0.0,0.0,0,2,1125,34,3.0
2,1.0,1.0,1.0,75.0,0.0,0.0,1,2,1125,16,1.0
2,1.0,0.0,1.0,124.0,0.0,0.0,1,3,7,164,4.0
4,1.0,1.0,2.0,150.0,300.0,0.0,2,2,1125,36,4.0
2,2.0,1.0,1.0,65.0,0.0,0.0,1,2,29,73,3.0
6,2.0,2.0,2.0,225.0,0.0,0.0,1,2,1125,6,6.0
2,1.0,1.0,1.0,70.0,0.0,0.0,1,12,1125,3,3.0
2,1.0,1.0,1.0,105.0,200.0,60.0,1,1,1125,8,5.0
4,2.0,2.0,2.0,158.0,0.0,60.0,2,2,90,16,2.0
2,1.0,1.0,1.0,69.0,300.0,25.0,1,2,1125,29,1.0
2,1.0,1.0,1.0,80.0,0.0,60.0,1,2,18,0,2.0
2,1.0,1.0,2.0,99.0,0.0,19.0,2,1,3,17,2.0
6,1.0,2.0,3.0,165.0,250.0,60.0,4,2,1125,47,2.0
2,1.0,0.0,1.0,70.0,250.0,15.0,1,1,1125,0,2.0
4,1.0,1.0,2.0,118.0,500.0,100.0,2,1,1125,3,4.0
2,1.0,1.0,3.0,100.0,0.0,0.0,1,4,1125,2,4.0
2,1.0,1.0,1.0,90.0,0.0,0.0,1,1,5,33,4.0
2,1.0,1.0,1.0,81.0,100.0,65.0,1,1,1125,11,1.0
3,1.0,1.0,1.0,70.0,250.0,45.0,2,1,1125,3,2.0
2,1.0,1.0,1.0,69.0,0.0,25.0,0,1,1125,94,1.0
4,1.0,1.0,2.0,90.0,250.0,40.0,1,2,1125,3,1.0
1,1.0,1.0,1.0,75.0,0.0,0.0,1,1,1125,0,1.0
2,2.0,1.0,1.0,70.0,200.0,30.0,1,2,29,52,3.0
2,1.0,1.0,1.0,179.0,0.0,0.0,2,1,1125,32,2.0
2,1.0,1.0,1.0,105.0,115.0,25.0,2,1,7,8,2.0
4,2.0,1.0,1.0,110.0,1000.0,65.0,2,2,1125,4,3.0
4,1.0,2.0,2.0,150.0,0.0,40.0,2,2,1125,81,3.0
2,1.0,0.0,1.0,75.0,0.0,0.0,1,3,9,0,1.0
2,1.0,0.0,1.0,75.0,0.0,30.0,2,2,1125,3,1.0
2,3.0,1.0,1.0,111.0,200.0,30.0,2,2,29,75,3.0
2,1.0,1.0,2.0,108.0,120.0,25.0,2,1,7,8,2.0
2,1.0,1.0,1.0,82.0,0.0,0.0,1,2,30,24,2.0
6,1.0,2.0,3.0,115.0,250.0,100.0,3,2,1125,81,3.0
4,1.0,2.0,2.0,220.0,0.0,75.0,4,2,1125,10,4.0
6,1.0,3.0,4.0,114.0,500.0,50.0,2,3,1125,4,2.0
2,1.0,1.0,1.0,59.0,0.0,25.0,0,1,1125,95,1.0
1,1.5,1.0,1.0,54.0,0.0,0.0,1,2,14,45,3.0
2,1.0,1.0,1.0,75.0,0.0,10.0,1,1,1125,14,1.0
2,1.0,1.0,1.0,90.0,0.0,30.0,1,1,1125,27,1.0
4,0.5,1.0,1.0,95.0,150.0,15.0,2,2,10,33,2.0
6,2.0,2.0,2.0,160.0,400.0,100.0,4,3,365,4,3.0
4,1.0,2.0,2.0,175.0,0.0,60.0,1,3,30,3,4.0
1,1.0,1.0,1.0,37.0,0.0,20.0,1,2,90,18,1.0
3,2.0,2.0,2.0,199.0,300.0,80.0,1,2,1125,3,3.0
4,1.0,2.0,2.0,200.0,0.0,60.0,1,3,30,4,4.0
8,1.0,3.0,3.0,175.0,300.0,80.0,3,3,180,13,4.0
4,1.0,1.0,1.0,120.0,150.0,50.0,2,2,25,30,2.0
4,1.0,2.0,2.0,160.0,150.0,25.0,1,3,1125,4,4.0
4,2.0,1.0,1.0,125.0,0.0,0.0,1,2,8,11,2.0
4,1.0,2.0,2.0,150.0,200.0,60.0,1,1,1125,1,5.0
4,1.0,2.0,2.0,175.0,0.0,60.0,1,3,90,0,4.0
3,1.0,1.0,2.0,100.0,95.0,10.0,1,1,1125,9,1.0
2,1.0,1.0,1.0,90.0,100.0,0.0,1,5,30,9,2.0
2,1.0,1.0,1.0,95.0,250.0,50.0,1,2,180,13,4.0
2,1.0,1.0,1.0,92.0,0.0,29.0,1,1,1125,28,5.0
3,1.0,1.0,2.0,90.0,0.0,0.0,1,1,1125,0,1.0
1,1.0,1.0,1.0,79.0,200.0,80.0,1,7,270,10,4.0
2,1.5,1.0,1.0,72.0,150.0,30.0,2,2,1125,39,4.0
6,1.0,2.0,2.0,115.0,500.0,80.0,4,3,1125,1,1.0
8,3.5,4.0,5.0,270.0,300.0,100.0,1,1,1125,1,1.0
2,1.0,1.0,2.0,65.0,0.0,55.0,1,1,1125,3,1.0
10,3.5,4.0,6.0,300.0,300.0,100.0,10,1,1125,21,3.0
6,1.5,2.0,3.0,122.0,250.0,49.0,2,1,1125,3,4.0
2,3.0,1.0,1.0,87.0,200.0,30.0,1,2,29,49,3.0
6,1.5,3.0,5.0,200.0,0.0,0.0,1,5,7,1,3.0
3,1.0,1.0,1.0,156.0,95.0,25.0,3,2,30,4,3.0
1,1.0,1.0,1.0,90.0,200.0,35.0,1,3,1125,32,4.0
8,3.5,3.0,5.0,325.0,500.0,125.0,6,1,1125,1,5.0
3,1.0,1.0,1.0,115.0,100.0,10.0,2,2,1125,3,4.0
10,2.5,2.0,8.0,425.0,0.0,85.0,4,1,1125,32,1.0
2,1.0,1.0,1.0,119.0,300.0,25.0,2,1,1125,2,1.0
6,2.5,3.0,4.0,220.0,250.0,125.0,6,3,1125,25,3.0
4,1.0,1.0,1.0,85.0,150.0,40.0,2,2,21,8,1.0
4,1.0,2.0,2.0,100.0,200.0,100.0,4,1,30,2,1.0
4,1.0,1.0,1.0,99.0,350.0,60.0,1,3,365,18,4.0
4,1.5,1.0,1.0,120.0,0.0,30.0,2,1,1125,6,4.0
2,1.0,0.0,1.0,150.0,0.0,0.0,2,2,1125,20,2.0
2,1.0,1.0,1.0,75.0,0.0,10.0,1,2,1125,6,4.0
2,1.0,1.0,1.0,90.0,0.0,35.0,2,1,14,18,2.0
3,1.0,1.0,2.0,125.0,700.0,30.0,2,3,1125,20,2.0
2,1.0,1.0,1.0,90.0,0.0,20.0,1,2,1125,16,6.0
2,2.0,1.0,1.0,200.0,0.0,0.0,2,5,1125,8,2.0
4,1.5,1.0,2.0,200.0,350.0,75.0,2,2,10,40,3.0
6,3.5,4.0,4.0,287.0,500.0,117.0,6,2,1125,1,1.0
2,1.0,0.0,1.0,90.0,0.0,0.0,1,1,1125,0,1.0
5,1.0,1.0,1.0,90.0,350.0,45.0,2,3,29,51,2.0
4,1.0,1.0,3.0,150.0,300.0,125.0,2,1,120,36,4.0
2,1.0,1.0,1.0,119.0,0.0,0.0,1,3,1125,16,3.0
5,2.5,2.0,3.0,150.0,200.0,100.0,4,4,1125,7,2.0
2,1.0,1.0,1.0,170.0,0.0,0.0,2,3,1125,31,2.0
4,1.0,2.0,3.0,150.0,600.0,60.0,4,7,1125,6,1.0
5,3.0,3.0,5.0,279.0,250.0,200.0,1,3,1125,1,2.0
2,1.0,1.0,1.0,55.0,0.0,0.0,1,2,1125,3,2.0
4,1.0,1.0,2.0,125.0,150.0,35.0,2,2,365,29,2.0
4,1.0,1.0,3.0,129.0,0.0,0.0,3,2,31,0,1.0
2,1.0,1.0,1.0,90.0,0.0,30.0,2,1,1125,1,1.0
6,2.0,3.0,5.0,199.0,250.0,90.0,1,3,1125,9,2.0
2,1.0,1.0,1.0,65.0,0.0,0.0,2,2,1125,158,4.0
6,2.0,2.0,2.0,200.0,300.0,112.0,4,3,15,0,3.0
3,1.0,1.0,1.0,92.0,250.0,75.0,3,2,365,53,6.0
7,2.5,3.0,3.0,257.0,250.0,100.0,6,2,1125,1,2.0
2,1.0,0.0,1.0,79.0,0.0,0.0,1,3,365,62,4.0
6,1.5,3.0,3.0,200.0,1000.0,200.0,1,3,365,22,2.0
2,1.0,1.0,1.0,80.0,0.0,30.0,2,1,1125,2,1.0
2,1.0,1.0,1.0,85.0,100.0,20.0,2,1,1125,5,2.0
3,1.5,1.0,1.0,65.0,175.0,15.0,1,1,1125,7,1.0
4,1.0,2.0,2.0,105.0,0.0,58.0,2,2,31,14,5.0
2,2.0,1.0,1.0,59.0,0.0,0.0,1,2,7,34,2.0
3,1.5,1.0,1.0,59.0,175.0,16.0,1,1,1125,15,1.0
2,1.5,1.0,1.0,75.0,0.0,0.0,1,1,1125,0,1.0
2,1.5,1.0,1.0,56.0,0.0,30.0,1,2,260,18,3.0
3,1.0,1.0,1.0,100.0,0.0,0.0,1,1,1125,0,4.0
2,1.0,1.0,1.0,85.0,150.0,0.0,1,2,1125,13,3.0
8,2.5,3.0,4.0,135.0,0.0,100.0,3,5,30,5,4.0
6,2.0,3.0,3.0,200.0,200.0,75.0,6,2,14,20,3.0
8,2.5,3.0,3.0,163.0,200.0,85.0,4,2,1125,5,2.0
2,1.0,1.0,1.0,83.0,250.0,25.0,1,1,1125,0,1.0
5,3.5,3.0,3.0,210.0,0.0,0.0,1,1,1125,0,1.0
2,1.0,1.0,1.0,59.0,0.0,0.0,1,1,1125,14,1.0
6,1.5,2.0,3.0,135.0,350.0,50.0,1,2,14,32,3.0
2,1.5,1.0,1.0,75.0,0.0,0.0,1,1,1125,1,1.0
2,1.0,1.0,1.0,109.0,0.0,0.0,1,2,1125,20,3.0
8,3.5,5.0,5.0,500.0,500.0,250.0,1,3,30,3,2.0
1,1.0,1.0,1.0,55.0,0.0,0.0,1,1,1125,12,1.0
8,3.5,5.0,5.0,400.0,0.0,120.0,1,5,365,2,4.0
4,2.5,2.0,2.0,105.0,0.0,85.0,1,2,1125,14,1.0
2,1.0,1.0,1.0,39.0,0.0,0.0,1,1,1125,54,1.0
2,1.0,1.0,2.0,50.0,99.0,50.0,1,1,33,10,1.0
4,1.0,2.0,2.0,129.0,200.0,78.0,4,2,15,7,1.0
1,2.0,1.0,1.0,44.0,0.0,0.0,0,2,7,41,2.0
12,3.5,5.0,8.0,350.0,500.0,250.0,1,7,1125,2,5.0
10,3.5,3.0,3.0,300.0,300.0,110.0,8,1,1125,31,1.0
2,1.0,1.0,1.0,53.0,0.0,0.0,0,2,21,37,2.0
2,1.0,1.0,1.0,60.0,0.0,0.0,1,1,1125,1,1.0
10,3.5,3.0,3.0,285.0,300.0,110.0,1,1,1125,2,1.0
4,1.0,2.0,3.0,210.0,250.0,125.0,1,2,30,0,2.0
5,1.0,1.0,3.0,159.0,300.0,60.0,2,2,60,34,1.0
5,1.0,3.0,3.0,225.0,1000.0,150.0,4,2,234,55,4.0
3,1.0,1.0,1.0,66.0,0.0,25.0,3,1,1125,2,1.0
4,1.0,1.0,1.0,80.0,200.0,45.0,2,2,1125,40,2.0
3,1.0,1.0,1.0,79.0,250.0,35.0,2,1,1125,27,3.0
2,2.0,1.0,1.0,120.0,0.0,50.0,1,1,1125,1,1.0
2,2.0,1.0,1.0,49.0,0.0,0.0,1,2,7,42,2.0
4,1.0,1.0,2.0,122.0,0.0,0.0,2,2,120,113,3.0
2,1.0,0.0,1.0,90.0,0.0,15.0,1,1,1125,15,1.0
6,2.5,2.0,4.0,196.0,0.0,110.0,1,3,365,27,5.0
2,1.0,1.0,1.0,115.0,0.0,30.0,1,1,1125,14,4.0
4,1.0,1.0,3.0,150.0,0.0,0.0,1,5,1125,0,1.0
4,1.5,2.0,2.0,125.0,100.0,80.0,2,2,1125,15,4.0
6,2.0,3.0,3.0,175.0,500.0,120.0,1,3,1125,0,1.0
2,1.5,1.0,2.0,60.0,0.0,30.0,1,2,365,27,6.0
2,1.5,1.0,1.0,70.0,0.0,12.0,1,1,29,22,1.0
4,2.0,3.0,2.0,175.0,0.0,20.0,1,2,10,4,1.0
2,1.0,1.0,2.0,100.0,250.0,25.0,1,2,2,0,3.0
2,2.0,1.0,1.0,69.0,0.0,0.0,1,1,5,12,2.0
2,1.0,1.0,1.0,69.0,200.0,20.0,1,1,1125,19,2.0
2,1.0,1.0,1.0,35.0,200.0,20.0,1,1,1125,23,1.0
4,1.0,3.0,2.0,140.0,0.0,50.0,4,2,1125,1,4.0
2,1.0,1.0,1.0,68.0,0.0,0.0,2,2,1125,17,2.0
2,1.5,1.0,1.0,55.0,0.0,5.0,1,1,1125,0,2.0
4,1.5,1.0,1.0,100.0,150.0,0.0,2,2,14,4,1.0
2,1.0,0.0,1.0,70.0,0.0,25.0,0,1,1125,4,3.0
2,1.5,1.0,1.0,90.0,0.0,0.0,2,2,7,1,1.0
6,2.5,2.0,3.0,275.0,500.0,250.0,4,3,45,14,3.0
2,1.0,1.0,1.0,60.0,0.0,5.0,1,1,1125,26,4.0
4,1.5,2.0,2.0,125.0,0.0,0.0,1,1,1125,1,2.0
4,1.0,1.0,2.0,100.0,100.0,50.0,1,1,1125,0,3.0
2,1.0,0.0,1.0,115.0,0.0,25.0,1,2,14,0,1.0
2,1.0,1.0,1.0,90.0,0.0,15.0,1,1,14,141,2.0
4,2.0,2.0,3.0,90.0,0.0,0.0,1,2,14,3,2.0
6,2.5,3.0,3.0,250.0,0.0,100.0,1,3,730,10,6.0
4,1.0,1.0,2.0,119.0,250.0,20.0,1,7,30,0,1.0
4,1.0,0.0,2.0,95.0,250.0,25.0,1,2,1125,38,3.0
7,3.5,3.0,3.0,218.0,0.0,170.0,1,2,365,39,5.0
3,1.0,1.0,1.0,120.0,0.0,25.0,1,2,1125,1,2.0
2,1.0,0.0,1.0,64.0,0.0,20.0,1,2,1125,18,2.0
2,1.0,1.0,1.0,80.0,0.0,0.0,2,1,1125,0,1.0
4,1.0,0.0,2.0,170.0,0.0,50.0,2,1,30,80,2.0
4,2.0,3.0,2.0,168.0,350.0,95.0,1,4,1125,1,7.0
2,1.0,1.0,1.0,60.0,0.0,15.0,2,1,1125,25,2.0
3,1.0,0.0,2.0,85.0,400.0,80.0,2,1,1125,4,2.0
2,1.0,1.0,1.0,70.0,0.0,0.0,1,2,7,183,3.0
4,1.0,2.0,3.0,115.0,100.0,50.0,1,1,1125,45,2.0
4,1.0,1.0,1.0,90.0,0.0,0.0,1,2,6,9,3.0
2,1.5,1.0,1.0,125.0,1500.0,75.0,1,1,1125,0,3.0
2,1.0,1.0,1.0,80.0,0.0,30.0,2,1,1125,1,2.0
3,1.0,0.0,2.0,90.0,149.0,60.0,2,1,14,0,1.0
4,2.0,2.0,2.0,149.0,300.0,25.0,4,3,1125,6,2.0
8,3.0,3.0,3.0,250.0,250.0,120.0,6,2,180,7,1.0
4,1.0,1.0,2.0,69.0,200.0,20.0,2,1,1125,61,2.0
2,1.0,1.0,1.0,65.0,100.0,0.0,1,1,1125,2,1.0
2,0.5,1.0,1.0,40.0,100.0,20.0,1,1,1125,26,1.0
2,1.5,1.0,1.0,60.0,95.0,30.0,1,2,365,31,6.0
4,2.0,2.0,2.0,149.0,0.0,75.0,1,3,1125,5,3.0
2,1.0,1.0,1.0,115.0,200.0,30.0,2,1,1125,7,1.0
6,1.0,1.0,3.0,79.0,100.0,75.0,2,1,60,64,5.0
2,1.0,0.0,1.0,129.0,300.0,50.0,1,2,1125,0,1.0
2,1.0,0.0,1.0,100.0,100.0,0.0,1,2,1125,52,3.0
2,1.0,1.0,2.0,76.0,0.0,99.0,1,2,1125,7,3.0
2,2.0,1.0,1.0,95.0,0.0,30.0,1,1,1125,43,1.0
4,1.0,1.0,2.0,100.0,0.0,99.0,1,2,1125,13,3.0
6,2.0,2.0,3.0,137.0,0.0,99.0,1,2,1125,20,3.0
8,0.0,1.0,8.0,38.0,0.0,6.0,1,1,1125,19,1.0
4,2.5,2.0,2.0,557.0,780.0,180.0,4,6,180,31,2.0
6,1.0,1.0,3.0,160.0,100.0,25.0,2,1,1125,48,2.0
2,1.0,0.0,1.0,179.0,0.0,0.0,2,2,29,6,2.0
8,8.0,1.0,8.0,41.0,0.0,0.0,1,1,1125,3,1.0
4,1.0,1.0,2.0,97.0,0.0,75.0,1,1,1125,0,4.0
3,1.0,0.0,1.0,99.0,100.0,60.0,1,1,1125,43,1.0
2,1.0,0.0,1.0,149.0,0.0,0.0,1,2,1125,1,3.0
3,1.0,1.0,1.0,199.0,300.0,60.0,2,2,1125,50,3.0
3,1.0,1.0,1.0,157.0,0.0,0.0,2,1,29,14,2.0
4,1.0,0.0,2.0,170.0,100.0,50.0,2,2,1125,10,4.0
4,1.0,1.0,2.0,85.0,0.0,75.0,1,2,120,9,4.0
