id,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,guests_included,extra_people,minimum_nights
2769088,98107,House,Entire home/apt,4,1.0,2.0,2.0,110.0,0.0,1,0,2
7603135,98107,House,Entire home/apt,4,1.0,2.0,2.0,225.0,45.0,1,0,1
9374365,98107,House,Private room,2,1.5,1.0,1.0,35.0,7.0,2,1,1
6106498,98107,House,Private room,2,1.0,1.0,1.0,55.0,15.0,1,1,1
9331449,98107,Townhouse,Private room,2,1.5,1.0,1.0,45.0,8.0,2,1,1
8799162,98107,House,Private room,2,1.0,1.0,1.0,79.0,0.0,1,0,1
3884851,98107,Apartment,Private room,2,1.0,1.0,1.0,65.0,5.0,1,0,2
3155785,98107,Apartment,Private room,1,2.0,1.0,1.0,61.0,15.0,1,0,1
9368517,98107,House,Entire home/apt,4,2.0,3.0,3.0,200.0,60.0,1,0,4
5643240,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,70.0,50.0,1,0,5
5042014,98107,House,Private room,1,1.0,1.0,1.0,52.0,20.0,1,0,30
7724630,98107,Apartment,Private room,2,1.0,1.0,1.0,50.0,0.0,1,1,1
3053237,98107,House,Entire home/apt,2,1.0,1.0,1.0,149.0,50.0,1,0,2
63733,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,89.0,0.0,2,0,2
227636,98107,Apartment,Entire home/apt,3,1.0,1.0,2.0,120.0,55.0,2,1,2
3689119,98107,House,Entire home/apt,2,1.0,0.0,1.0,85.0,30.0,1,0,2
1179538,98107,House,Private room,4,1.5,1.0,2.0,80.0,15.0,4,1,1
6823781,98107,House,Entire home/apt,3,1.0,1.0,3.0,89.0,55.0,2,1,2
2284536,98107,House,Entire home/apt,4,1.0,1.0,1.0,99.0,30.0,2,1,2
5143441,98107,Apartment,Entire home/apt,4,1.0,1.0,3.0,110.0,35.0,2,1,1
5749958,98107,House,Entire home/apt,6,1.0,2.0,3.0,180.0,80.0,4,1,3
9116815,98107,Apartment,Entire home/apt,4,1.0,2.0,2.0,150.0,0.0,1,0,2
7731836,98107,Apartment,Entire home/apt,4,1.0,1.0,2.0,70.0,0.0,1,0,1
10262971,98107,House,Private room,2,1.0,1.0,1.0,70.0,0.0,1,0,1
1407502,98107,House,Private room,1,1.0,1.0,1.0,75.0,25.0,1,0,4
8817038,98107,Apartment,Entire home/apt,4,1.0,2.0,2.0,85.0,0.0,4,1,2
4449303,98107,House,Private room,2,1.0,1.0,1.0,80.0,25.0,1,1,1
8255615,98107,Apartment,Entire home/apt,3,1.0,1.0,1.0,90.0,20.0,1,0,3
4053092,98107,House,Private room,2,1.0,1.0,1.0,80.0,0.0,1,0,1
6886633,98107,Camper/RV,Entire home/apt,2,1.0,0.0,1.0,75.0,0.0,1,1,1
8820414,98107,Apartment,Entire home/apt,3,1.0,2.0,2.0,80.0,0.0,1,0,1
3052151,98107,House,Private room,2,1.0,1.0,1.0,70.0,0.0,1,0,2
1618842,98107,Apartment,Entire home/apt,4,1.0,0.0,1.0,95.0,40.0,2,1,2
888967,98107,House,Private room,2,1.0,1.0,1.0,90.0,0.0,1,0,1
5671843,98107,House,Private room,2,1.0,1.0,1.0,65.0,20.0,1,0,14
904057,98107,House,Entire home/apt,3,1.0,1.0,1.0,95.0,0.0,2,1,3
7161725,98107,Townhouse,Private room,3,1.0,1.0,2.0,110.0,50.0,2,1,2
9587410,98107,House,Private room,3,1.0,1.0,2.0,50.0,10.0,1,0,1
9202380,98107,Apartment,Entire home/apt,4,1.0,1.0,1.0,95.0,20.0,2,0,1
2238105,98107,House,Entire home/apt,2,1.0,1.0,1.0,100.0,30.0,1,0,4
9545766,98107,House,Private room,2,1.0,1.0,2.0,89.0,0.0,1,0,1
2441908,98107,House,Entire home/apt,5,1.0,1.0,3.0,116.0,60.0,4,1,2
9367465,98107,House,Entire home/apt,4,1.0,1.0,2.0,150.0,50.0,2,1,2
843812,98107,House,Entire home/apt,6,2.0,3.0,3.0,180.0,0.0,1,0,3
3835995,98107,House,Entire home/apt,2,1.0,1.0,1.0,97.0,0.0,1,0,1
9732638,98107,Townhouse,Entire home/apt,5,3.0,2.0,2.0,200.0,50.0,4,1,2
3768745,98109,House,Private room,2,1.0,1.0,1.0,120.0,0.0,1,0,2
3975434,98109,Apartment,Private room,2,1.0,1.0,1.0,109.0,0.0,2,1,2
5620928,98109,Apartment,Private room,2,1.0,1.0,1.0,115.0,20.0,1,0,2
7381677,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,199.0,80.0,2,1,2
5487934,98109,Apartment,Private room,2,1.0,1.0,1.0,150.0,0.0,1,0,1
9028447,98109,Apartment,Entire home/apt,2,1.0,1.0,1.0,100.0,0.0,1,0,1
757840,98109,House,Entire home/apt,6,2.5,3.0,4.0,250.0,100.0,1,0,2
8848403,98109,Apartment,Shared room,2,1.0,1.0,1.0,39.0,0.0,1,0,1
7430926,98109,Apartment,Entire home/apt,4,1.0,1.0,1.0,69.0,55.0,3,1,2
7021544,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,145.0,60.0,4,1,2
1323446,98109,Apartment,Entire home/apt,5,1.0,1.0,4.0,98.0,10.0,2,1,1
3925573,98109,Apartment,Entire home/apt,4,1.0,1.0,1.0,130.0,25.0,1,0,2
8723086,98109,Apartment,Entire home/apt,4,1.0,1.0,2.0,85.0,0.0,0,0,1
781474,98109,Boat,Entire home/apt,1,1.0,1.0,1.0,85.0,15.0,1,0,2
