id,host_is_superhost,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,cancellation_policy,host_experience
3884851,1,98107,Apartment,Private room,2,1.0,1.0,1.0,Real Bed,65.0,,5.0,1,0,2,1125,64,96.0,moderate,2.0
3155785,0,98107,Apartment,Private room,1,2.0,1.0,1.0,Real Bed,61.0,,15.0,1,0,1,1125,4,80.0,moderate,3.0
9368517,0,98107,House,Entire home/apt,4,2.0,3.0,3.0,Real Bed,200.0,200.0,60.0,1,0,4,7,0,,flexible,1.0
5643240,0,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,70.0,250.0,50.0,1,0,5,1125,8,90.0,moderate,2.0
5042014,0,98107,House,Private room,1,1.0,1.0,1.0,Pull-out Sofa,52.0,,20.0,1,0,30,90,14,97.0,moderate,2.0
7724630,0,98107,Apartment,Private room,2,1.0,1.0,1.0,Futon,50.0,,,1,1,1,1125,1,100.0,flexible,1.0
9449437,0,98107,Townhouse,Entire home/apt,8,2.5,4.0,4.0,Real Bed,275.0,500.0,50.0,8,1,1,1125,0,,strict,3.0
3053237,1,98107,House,Entire home/apt,2,1.0,1.0,1.0,Real Bed,149.0,100.0,50.0,1,0,2,1125,85,99.0,strict,2.0
8132347,0,98107,House,Entire home/apt,8,2.0,2.0,4.0,Real Bed,199.0,150.0,85.0,5,1,1,1125,0,,flexible,4.0
63733,0,98107,Apartment,Entire home/apt,2,1.0,1.0,1.0,Real Bed,89.0,,,2,0,2,14,125,97.0,moderate,6.0
2039149,0,,House,Entire home/apt,10,2.0,3.0,3.0,Real Bed,225.0,300.0,100.0,8,1,1,90,121,91.0,strict,3.0
227636,1,98107,Apartment,Entire home/apt,3,1.0,1.0,2.0,Real Bed,120.0,200.0,55.0,2,1,2,120,131,97.0,strict,5.0
3689119,1,98107,House,Entire home/apt,2,1.0,0.0,1.0,Real Bed,85.0,,30.0,1,0,2,1125,49,98.0,flexible,5.0
1179538,0,98107,House,Private room,4,1.5,1.0,2.0,Real Bed,80.0,200.0,15.0,4,1,1,1125,2,100.0,strict,3.0
6823781,0,98107,House,Entire home/apt,3,1.0,1.0,3.0,Real Bed,89.0,,55.0,2,1,2,1125,28,95.0,strict,1.0
2284536,0,98107,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,99.0,100.0,30.0,2,1,2,1125,111,92.0,moderate,6.0
5143441,1,98107,Apartment,Entire home/apt,4,1.0,1.0,3.0,Real Bed,110.0,95.0,35.0,2,1,1,16,49,97.0,flexible,6.0
5749958,0,98107,House,Entire home/apt,6,1.0,2.0,3.0,Real Bed,180.0,250.0,80.0,4,1,3,1125,28,96.0,moderate,4.0
9116815,0,98107,Apartment,Entire home/apt,4,1.0,2.0,2.0,Real Bed,150.0,,,1,0,2,1125,0,,flexible,6.0
